Model,Brand,purchase_place,Year_of_manufacture,total_cars,percentage_by_model,percentage_by_place,percentage_of_total,avg_mileage
Harrier,Kia,Malleswaram,2004,2,0.03,0.03,0.00,146302.50
i20,Kia,Malleswaram,2004,1,0.02,0.02,0.00,101365.00
i20,Kia,Malleswaram,2004,1,0.02,0.02,0.00,120953.00
i20,Kia,Malleswaram,2004,1,0.02,0.02,0.00,96848.00
i20,Kia,Malleswaram,2004,1,0.02,0.02,0.00,56106.00
i20,Kia,Malleswaram,2004,1,0.02,0.02,0.00,128577.00
Nexon,Kia,Malleswaram,2004,1,0.02,0.02,0.00,113035.00
Seltos,Kia,Malleswaram,2004,1,0.02,0.02,0.00,125000.00
Seltos,Kia,Malleswaram,2004,1,0.02,0.02,0.00,9500.00
Swift,Kia,Malleswaram,2004,1,0.02,0.02,0.00,107033.00
Swift,Kia,Malleswaram,2004,4,0.06,0.06,0.01,126164.25
Swift,Kia,Malleswaram,2004,1,0.02,0.02,0.00,102339.00
Thar,Kia,Malleswaram,2004,1,0.02,0.02,0.00,115060.00
Thar,Kia,Malleswaram,2004,1,0.02,0.02,0.00,93967.00
Baleno,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,172264.00
Baleno,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,79468.00
City,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,99230.00
Creta,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,116410.00
Harrier,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,82967.00
i20,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,118577.00
i20,Kia,Rajajinagar,2004,3,0.05,0.05,0.00,176163.00
Innova,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,165679.00
Innova,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,97453.00
Nexon,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,44631.00
Nexon,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,155230.00
Nexon,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,96092.00
Nexon,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,138207.00
Swift,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,158552.00
Thar,Kia,Rajajinagar,2004,1,0.02,0.02,0.00,96124.00
Baleno,Kia,Whitefield,2004,1,0.02,0.02,0.00,150734.00
Baleno,Kia,Whitefield,2004,1,0.02,0.02,0.00,97956.00
Baleno,Kia,Whitefield,2004,1,0.02,0.02,0.00,39441.00
Baleno,Kia,Whitefield,2004,3,0.05,0.05,0.00,65259.00
City,Kia,Whitefield,2004,1,0.02,0.02,0.00,96255.00
City,Kia,Whitefield,2004,1,0.02,0.02,0.00,147580.00
Creta,Kia,Whitefield,2004,1,0.02,0.02,0.00,123694.00
Harrier,Kia,Whitefield,2004,1,0.02,0.02,0.00,78777.00
i20,Kia,Whitefield,2004,1,0.02,0.02,0.00,111729.00
Innova,Kia,Whitefield,2004,2,0.03,0.03,0.00,123142.50
Nexon,Kia,Whitefield,2004,1,0.02,0.02,0.00,110392.00
Nexon,Kia,Whitefield,2004,1,0.02,0.02,0.00,93673.00
Seltos,Kia,Whitefield,2004,1,0.02,0.02,0.00,102322.00
Seltos,Kia,Whitefield,2004,3,0.05,0.05,0.00,29586.00
Swift,Kia,Whitefield,2004,2,0.03,0.03,0.00,99894.00
Swift,Kia,Whitefield,2004,2,0.03,0.03,0.00,101507.50
Swift,Kia,Whitefield,2004,1,0.02,0.02,0.00,133919.00
Baleno,Kia,Yelahanka,2004,1,0.02,0.02,0.00,145979.00
Baleno,Kia,Yelahanka,2004,1,0.02,0.02,0.00,186404.00
City,Kia,Yelahanka,2004,2,0.03,0.03,0.00,117244.50
City,Kia,Yelahanka,2004,3,0.05,0.05,0.00,110504.00
Creta,Kia,Yelahanka,2004,1,0.02,0.02,0.00,92793.00
Harrier,Kia,Yelahanka,2004,1,0.02,0.02,0.00,101827.00
Harrier,Kia,Yelahanka,2004,1,0.02,0.02,0.00,66347.00
i20,Kia,Yelahanka,2004,1,0.02,0.02,0.00,103074.00
i20,Kia,Yelahanka,2004,2,0.03,0.03,0.00,90810.00
Innova,Kia,Yelahanka,2004,1,0.02,0.02,0.00,185436.00
Innova,Kia,Yelahanka,2004,1,0.02,0.02,0.00,163548.00
Nexon,Kia,Yelahanka,2004,1,0.02,0.02,0.00,77117.00
Nexon,Kia,Yelahanka,2004,1,0.02,0.02,0.00,39048.00
Seltos,Kia,Yelahanka,2004,1,0.02,0.02,0.00,154141.00
Seltos,Kia,Yelahanka,2004,1,0.02,0.02,0.00,161235.00
Seltos,Kia,Yelahanka,2004,3,0.05,0.05,0.00,119662.00
Swift,Kia,Yelahanka,2004,1,0.02,0.02,0.00,12799.00
Swift,Kia,Yelahanka,2004,3,0.05,0.05,0.00,113411.00
Swift,Kia,Yelahanka,2004,2,0.03,0.03,0.00,92349.50
Thar,Kia,Yelahanka,2004,3,0.05,0.05,0.00,135762.00
Thar,Kia,Yelahanka,2004,1,0.02,0.02,0.00,145931.00
Baleno,Mahindra,Basavanagudi,2004,2,0.03,0.03,0.00,177430.00
City,Mahindra,Basavanagudi,2004,1,0.02,0.02,0.00,50467.00
Creta,Mahindra,Basavanagudi,2004,3,0.05,0.05,0.00,124471.00
Harrier,Mahindra,Basavanagudi,2004,3,0.05,0.05,0.00,119661.33
Harrier,Mahindra,Basavanagudi,2004,3,0.05,0.05,0.00,108396.00
i20,Mahindra,Basavanagudi,2004,1,0.02,0.02,0.00,126574.00
i20,Mahindra,Basavanagudi,2004,2,0.03,0.03,0.00,90686.00
i20,Mahindra,Basavanagudi,2004,1,0.02,0.02,0.00,72569.00
Innova,Mahindra,Basavanagudi,2004,1,0.02,0.02,0.00,99168.00
Nexon,Mahindra,Basavanagudi,2004,1,0.02,0.02,0.00,88525.00
Nexon,Mahindra,Basavanagudi,2004,2,0.03,0.03,0.00,185151.00
Nexon,Mahindra,Basavanagudi,2004,1,0.02,0.02,0.00,114189.00
Nexon,Mahindra,Basavanagudi,2004,3,0.05,0.05,0.00,101501.00
Nexon,Mahindra,Basavanagudi,2004,1,0.02,0.02,0.00,156156.00
Seltos,Mahindra,Basavanagudi,2004,1,0.02,0.02,0.00,111043.00
Seltos,Mahindra,Basavanagudi,2004,1,0.02,0.02,0.00,109343.00
Swift,Mahindra,Basavanagudi,2004,3,0.05,0.05,0.00,97308.00
Swift,Mahindra,Basavanagudi,2004,1,0.02,0.02,0.00,79152.00
Thar,Mahindra,Basavanagudi,2004,1,0.02,0.02,0.00,94982.00
Baleno,Mahindra,Hebbal,2004,3,0.05,0.05,0.00,86320.00
City,Mahindra,Hebbal,2004,3,0.05,0.05,0.00,106068.00
City,Mahindra,Hebbal,2004,1,0.02,0.02,0.00,89879.00
Creta,Mahindra,Hebbal,2004,1,0.02,0.02,0.00,163790.00
i20,Mahindra,Hebbal,2004,1,0.02,0.02,0.00,106355.00
Innova,Mahindra,Hebbal,2004,1,0.02,0.02,0.00,42712.00
Innova,Mahindra,Hebbal,2004,4,0.06,0.06,0.01,126781.75
Innova,Mahindra,Hebbal,2004,1,0.02,0.02,0.00,80003.00
Nexon,Mahindra,Hebbal,2004,2,0.03,0.03,0.00,141918.50
Nexon,Mahindra,Hebbal,2004,1,0.02,0.02,0.00,159936.00
Seltos,Mahindra,Hebbal,2004,2,0.03,0.03,0.00,115982.50
Seltos,Mahindra,Hebbal,2004,3,0.05,0.05,0.00,201170.00
Seltos,Mahindra,Hebbal,2004,1,0.02,0.02,0.00,102700.00
Baleno,Mahindra,"HSR Layout",2004,2,0.03,0.03,0.00,117239.50
Baleno,Mahindra,"HSR Layout",2004,1,0.02,0.02,0.00,117861.00
Baleno,Mahindra,"HSR Layout",2004,1,0.02,0.02,0.00,81712.00
City,Mahindra,"HSR Layout",2004,1,0.02,0.02,0.00,96847.00
City,Mahindra,"HSR Layout",2004,1,0.02,0.02,0.00,91228.00
Creta,Mahindra,"HSR Layout",2004,4,0.06,0.06,0.01,158063.75
Harrier,Mahindra,"HSR Layout",2004,2,0.03,0.03,0.00,84731.50
Harrier,Mahindra,"HSR Layout",2004,1,0.02,0.02,0.00,113131.00
Harrier,Mahindra,"HSR Layout",2004,1,0.02,0.02,0.00,99998.00
Innova,Mahindra,"HSR Layout",2004,3,0.05,0.05,0.00,172952.00
Nexon,Mahindra,"HSR Layout",2004,1,0.02,0.02,0.00,131838.00
Nexon,Mahindra,"HSR Layout",2004,1,0.02,0.02,0.00,127678.00
Nexon,Mahindra,"HSR Layout",2004,3,0.05,0.05,0.00,112021.67
Seltos,Mahindra,"HSR Layout",2004,1,0.02,0.02,0.00,61730.00
Seltos,Mahindra,"HSR Layout",2004,1,0.02,0.02,0.00,130815.00
Thar,Mahindra,"HSR Layout",2004,3,0.05,0.05,0.00,165194.00
Thar,Mahindra,"HSR Layout",2004,1,0.02,0.02,0.00,124833.00
Thar,Mahindra,"HSR Layout",2004,2,0.03,0.03,0.00,166273.00
Baleno,Mahindra,Indiranagar,2004,1,0.02,0.02,0.00,109531.00
City,Mahindra,Indiranagar,2004,2,0.03,0.03,0.00,129374.00
Creta,Mahindra,Indiranagar,2004,3,0.05,0.05,0.00,112874.00
Harrier,Mahindra,Indiranagar,2004,1,0.02,0.02,0.00,43888.00
i20,Mahindra,Indiranagar,2004,1,0.02,0.02,0.00,95494.00
Innova,Mahindra,Indiranagar,2004,1,0.02,0.02,0.00,105758.00
Innova,Mahindra,Indiranagar,2004,1,0.02,0.02,0.00,140109.00
Innova,Mahindra,Indiranagar,2004,2,0.03,0.03,0.00,108706.50
Nexon,Mahindra,Indiranagar,2004,1,0.02,0.02,0.00,184836.00
Nexon,Mahindra,Indiranagar,2004,1,0.02,0.02,0.00,80181.00
Swift,Mahindra,Indiranagar,2004,2,0.03,0.03,0.00,100825.50
Swift,Mahindra,Indiranagar,2004,1,0.02,0.02,0.00,72578.00
Thar,Mahindra,Indiranagar,2004,3,0.05,0.05,0.00,159228.00
Thar,Mahindra,Indiranagar,2004,3,0.05,0.05,0.00,136591.00
Thar,Mahindra,Indiranagar,2004,1,0.02,0.02,0.00,95783.00
Thar,Mahindra,Indiranagar,2004,1,0.02,0.02,0.00,120298.00
Baleno,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,111074.00
Baleno,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,106150.00
Baleno,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,62908.00
Baleno,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,53601.00
City,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,155393.00
City,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,140567.00
City,Mahindra,Jayanagar,2004,3,0.05,0.05,0.00,102773.33
Harrier,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,111361.00
Harrier,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,90900.00
Harrier,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,89164.00
Harrier,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,99071.00
i20,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,161402.00
i20,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,63928.00
Innova,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,31153.00
Nexon,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,131464.00
Nexon,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,91730.00
Seltos,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,85687.00
Seltos,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,123616.00
Seltos,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,159944.00
Swift,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,96622.00
Thar,Mahindra,Jayanagar,2004,1,0.02,0.02,0.00,89925.00
Baleno,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,71476.00
Baleno,Mahindra,Koramangala,2004,3,0.05,0.05,0.00,179135.00
City,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,107972.00
City,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,90516.00
City,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,26892.00
Creta,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,136113.00
Creta,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,143552.00
Creta,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,140705.00
Harrier,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,97206.00
Harrier,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,101199.00
Innova,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,57590.00
Innova,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,142205.00
Innova,Mahindra,Koramangala,2004,3,0.05,0.05,0.00,137432.00
Nexon,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,91497.00
Nexon,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,213120.00
Seltos,Mahindra,Koramangala,2004,5,0.08,0.08,0.01,126252.80
Swift,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,88766.00
Swift,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,122085.00
Swift,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,25739.00
Swift,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,109343.00
Thar,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,79278.00
Thar,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,40278.00
Thar,Mahindra,Koramangala,2004,1,0.02,0.02,0.00,115199.00
Baleno,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,112376.00
Baleno,Mahindra,Malleswaram,2004,2,0.03,0.03,0.00,162512.50
Baleno,Mahindra,Malleswaram,2004,3,0.05,0.05,0.00,139750.00
Baleno,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,56731.00
Creta,Mahindra,Malleswaram,2004,3,0.05,0.05,0.00,9500.00
Creta,Mahindra,Malleswaram,2004,2,0.03,0.03,0.00,109983.00
Creta,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,117950.00
i20,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,71862.00
i20,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,122128.00
Innova,Mahindra,Malleswaram,2004,2,0.03,0.03,0.00,101162.50
Innova,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,99570.00
Innova,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,116859.00
Innova,Mahindra,Malleswaram,2004,3,0.05,0.05,0.00,141499.00
Innova,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,131771.00
Nexon,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,89133.00
Nexon,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,92540.00
Nexon,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,132120.00
Nexon,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,96192.00
Seltos,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,59743.00
Seltos,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,126579.00
Seltos,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,104323.00
Swift,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,88931.00
Swift,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,71410.00
Swift,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,77896.00
Swift,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,70607.00
Thar,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,108495.00
Thar,Mahindra,Malleswaram,2004,1,0.02,0.02,0.00,104219.00
Baleno,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,31768.00
Baleno,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,156118.00
Baleno,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,95417.00
Baleno,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,99019.00
Baleno,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,75382.00
City,Mahindra,Rajajinagar,2004,2,0.03,0.03,0.00,44254.00
City,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,101077.00
City,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,100315.00
Creta,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,167904.00
Harrier,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,166865.00
i20,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,156053.00
Innova,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,151582.00
Innova,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,85422.00
Innova,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,82088.00
Nexon,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,91414.00
Seltos,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,121723.00
Seltos,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,146305.00
Seltos,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,90959.00
Seltos,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,69523.00
Seltos,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,129801.00
Swift,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,80583.00
Swift,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,121485.00
Swift,Mahindra,Rajajinagar,2004,3,0.05,0.05,0.00,110894.00
Thar,Mahindra,Rajajinagar,2004,1,0.02,0.02,0.00,120359.00
Thar,Mahindra,Rajajinagar,2004,2,0.03,0.03,0.00,108215.00
Baleno,Mahindra,Whitefield,2004,3,0.05,0.05,0.00,143942.00
Baleno,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,152796.00
Baleno,Mahindra,Whitefield,2004,2,0.03,0.03,0.00,111323.00
Baleno,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,106726.00
City,Mahindra,Whitefield,2004,2,0.03,0.03,0.00,103850.00
Harrier,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,201348.00
Harrier,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,105988.00
i20,Mahindra,Whitefield,2004,3,0.05,0.05,0.00,70629.00
i20,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,84640.00
Innova,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,136715.00
Innova,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,184413.00
Nexon,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,142425.00
Seltos,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,119054.00
Seltos,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,105002.00
Seltos,Mahindra,Whitefield,2004,3,0.05,0.05,0.00,125116.00
Seltos,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,97052.00
Swift,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,96889.00
Swift,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,151742.00
Swift,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,145610.00
Thar,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,146205.00
Thar,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,58077.00
Thar,Mahindra,Whitefield,2004,1,0.02,0.02,0.00,135177.00
Baleno,Mahindra,Yelahanka,2004,2,0.03,0.03,0.00,118041.00
Baleno,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,82719.00
Baleno,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,102035.00
City,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,80042.00
Creta,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,167640.00
Harrier,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,44170.00
Harrier,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,124681.00
Harrier,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,127291.00
Harrier,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,100341.00
Harrier,Mahindra,Yelahanka,2004,3,0.05,0.05,0.00,62499.00
i20,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,112843.00
i20,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,177824.00
Innova,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,137217.00
Innova,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,82779.00
Innova,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,94122.00
Seltos,Mahindra,Yelahanka,2004,2,0.03,0.03,0.00,173849.00
Swift,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,149323.00
Thar,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,45609.00
Thar,Mahindra,Yelahanka,2004,3,0.05,0.05,0.00,118142.00
Thar,Mahindra,Yelahanka,2004,3,0.05,0.05,0.00,97339.67
Thar,Mahindra,Yelahanka,2004,1,0.02,0.02,0.00,153199.00
Baleno,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,169548.00
City,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,143428.00
City,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,110574.00
Creta,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,111468.00
Creta,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,91209.00
Creta,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,150092.00
Creta,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,121141.00
Harrier,Maruti,Basavanagudi,2004,2,0.03,0.03,0.00,140744.00
Harrier,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,94670.00
Harrier,Maruti,Basavanagudi,2004,3,0.05,0.05,0.00,117191.00
i20,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,59440.00
i20,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,41318.00
i20,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,56835.00
i20,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,93448.00
Innova,Maruti,Basavanagudi,2004,4,0.06,0.07,0.01,153149.00
Innova,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,119340.00
Innova,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,91430.00
Innova,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,116431.00
Seltos,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,129834.00
Swift,Maruti,Basavanagudi,2004,3,0.05,0.05,0.00,47244.00
Swift,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,89460.00
Thar,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,66293.00
Thar,Maruti,Basavanagudi,2004,1,0.02,0.02,0.00,137842.00
Baleno,Maruti,Hebbal,2004,2,0.03,0.03,0.00,100524.50
Baleno,Maruti,Hebbal,2004,1,0.02,0.02,0.00,78962.00
Baleno,Maruti,Hebbal,2004,1,0.02,0.02,0.00,173062.00
Baleno,Maruti,Hebbal,2004,1,0.02,0.02,0.00,144111.00
City,Maruti,Hebbal,2004,1,0.02,0.02,0.00,137346.00
Creta,Maruti,Hebbal,2004,1,0.02,0.02,0.00,98107.00
Creta,Maruti,Hebbal,2004,1,0.02,0.02,0.00,142175.00
Creta,Maruti,Hebbal,2004,1,0.02,0.02,0.00,115875.00
Harrier,Maruti,Hebbal,2004,1,0.02,0.02,0.00,96101.00
i20,Maruti,Hebbal,2004,2,0.03,0.03,0.00,132475.50
i20,Maruti,Hebbal,2004,1,0.02,0.02,0.00,165495.00
Nexon,Maruti,Hebbal,2004,2,0.03,0.03,0.00,122200.50
Nexon,Maruti,Hebbal,2004,2,0.03,0.03,0.00,104953.00
Nexon,Maruti,Hebbal,2004,2,0.03,0.03,0.00,53622.00
Nexon,Maruti,Hebbal,2004,1,0.02,0.02,0.00,187978.00
Seltos,Maruti,Hebbal,2004,1,0.02,0.02,0.00,74616.00
Swift,Maruti,Hebbal,2004,1,0.02,0.02,0.00,83073.00
Swift,Maruti,Hebbal,2004,1,0.02,0.02,0.00,129540.00
Thar,Maruti,Hebbal,2004,2,0.03,0.03,0.00,110331.00
Thar,Maruti,Hebbal,2004,4,0.07,0.06,0.01,104976.50
Baleno,Maruti,"HSR Layout",2004,2,0.03,0.03,0.00,141881.50
Baleno,Maruti,"HSR Layout",2004,5,0.08,0.08,0.01,117278.20
City,Maruti,"HSR Layout",2004,2,0.03,0.03,0.00,184419.00
City,Maruti,"HSR Layout",2004,1,0.02,0.02,0.00,91488.00
City,Maruti,"HSR Layout",2004,4,0.06,0.06,0.01,128337.50
Harrier,Maruti,"HSR Layout",2004,1,0.02,0.02,0.00,125860.00
Harrier,Maruti,"HSR Layout",2004,1,0.02,0.02,0.00,81654.00
Harrier,Maruti,"HSR Layout",2004,1,0.02,0.02,0.00,53850.00
i20,Maruti,"HSR Layout",2004,1,0.02,0.02,0.00,94259.00
Innova,Maruti,"HSR Layout",2004,4,0.06,0.06,0.01,91915.50
Innova,Maruti,"HSR Layout",2004,3,0.05,0.05,0.00,93927.00
Innova,Maruti,"HSR Layout",2004,1,0.02,0.02,0.00,156321.00
Nexon,Maruti,"HSR Layout",2004,1,0.02,0.02,0.00,150892.00
Nexon,Maruti,"HSR Layout",2004,1,0.02,0.02,0.00,128497.00
Nexon,Maruti,"HSR Layout",2004,1,0.02,0.02,0.00,157257.00
Seltos,Maruti,"HSR Layout",2004,1,0.02,0.02,0.00,127272.00
Thar,Maruti,"HSR Layout",2004,3,0.05,0.05,0.00,91831.00
Thar,Maruti,"HSR Layout",2004,1,0.02,0.02,0.00,67491.00
Thar,Maruti,"HSR Layout",2004,1,0.02,0.02,0.00,98705.00
Baleno,Maruti,Indiranagar,2004,2,0.03,0.03,0.00,133243.50
Baleno,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,126404.00
City,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,96438.00
City,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,11379.00
Creta,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,88067.00
Creta,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,119614.00
Harrier,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,221387.00
i20,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,128791.00
i20,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,98944.00
Innova,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,162799.00
Innova,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,187755.00
Nexon,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,98316.00
Seltos,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,64256.00
Swift,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,139648.00
Swift,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,50480.00
Swift,Maruti,Indiranagar,2004,2,0.03,0.03,0.00,72200.00
Thar,Maruti,Indiranagar,2004,2,0.03,0.03,0.00,88265.00
Thar,Maruti,Indiranagar,2004,1,0.02,0.02,0.00,188728.00
Thar,Maruti,Indiranagar,2004,2,0.03,0.03,0.00,138384.00
Baleno,Maruti,Jayanagar,2004,1,0.02,0.02,0.00,99695.00
Baleno,Maruti,Jayanagar,2004,3,0.05,0.05,0.00,133924.00
Baleno,Maruti,Jayanagar,2004,1,0.02,0.02,0.00,125366.00
Baleno,Maruti,Jayanagar,2004,1,0.02,0.02,0.00,104029.00
City,Maruti,Jayanagar,2004,3,0.05,0.05,0.00,138699.00
City,Maruti,Jayanagar,2004,1,0.02,0.02,0.00,76874.00
Creta,Maruti,Jayanagar,2004,1,0.02,0.02,0.00,83652.00
Harrier,Maruti,Jayanagar,2004,3,0.05,0.05,0.00,120230.00
